year,month,new_hd_cd,upjong_code,revenue,customer_count,payment_count
2017,1,36110370,1004,3018981.74,8.88,8.88
2017,1,36110370,2002,2559918.93,435.09,435.09
2017,1,36110370,2003,4632361.1,390.69,408.45
2017,1,36110370,2004,5253916.17,674.83,692.59
2017,1,36110370,2099,5700547.88,133.19,133.19
2017,1,36110370,2104,226068580.6,5824.86,5878.14
2017,1,36110370,2107,852418.37,26.64,26.64
2017,1,36110370,2109,16591080.54,683.71,683.71
2017,1,36110370,2111,17123842.02,1216.47,1225.35
2017,1,36110370,2112,13587193.71,603.8,603.8
2017,1,36110370,2199,3915796.91,88.79,88.79
2017,1,36110370,2401,665951.85,8.88,8.88
2017,1,36110370,2402,207966996.9,2450.7,2530.62
2017,1,36110370,2406,7609609.86,124.31,133.19
2017,1,36110370,2499,2006734.92,106.55,115.43
2017,1,36110370,3203,435088.55,26.64,26.64
2017,1,36110370,3302,4359764.81,26.64,26.64
2017,1,36110370,3303,28725344.89,62.16,62.16
2017,1,36110370,3401,234415.05,17.76,17.76
2017,1,36110370,3402,107440.23,17.76,17.76
2017,1,36110370,3403,49562090.48,630.43,648.19
2017,1,36110370,3405,488364.69,8.88,8.88
2017,1,36110370,4101,50934750.45,2583.89,2646.05
2017,1,36110370,4108,262517155.6,6046.84,6544.09
2017,1,36110370,4110,7612540.05,301.9,319.66
2017,1,36110370,4112,100499060.8,12804.03,13274.64
2017,1,36110370,4113,355174.32,8.88,8.88
2017,1,36110370,5103,27250749.89,346.29,355.17
2017,1,36110370,5605,18486823.49,159.83,159.83
2017,1,36110370,5608,1800655783.0,19738.81,19916.4
2017,1,36110370,5609,151979634.2,4910.29,4910.29
2017,1,36110370,6004,234153644.5,1616.04,1624.92
2017,1,36110370,6018,448407.58,133.19,142.07
2017,1,36110370,6103,941211.95,26.64,26.64
2017,1,36110370,6114,2110623.41,150.95,150.95
2017,1,36110370,6116,2459582.18,8.88,8.88
2017,1,36110370,6203,950091.31,17.76,17.76
2017,1,36110370,7003,23414867.21,692.59,701.47
2017,1,36110370,7005,6354956.57,452.85,461.73
2017,1,36110370,7007,293018.82,17.76,17.76
2017,1,36110370,7102,5132268.96,195.35,195.35
2017,1,36110370,7105,324096.57,35.52,35.52
2017,1,36110370,8202,44396.79,8.88,8.88
2017,1,36110370,8205,2051131.71,150.95,150.95
2017,1,36110370,8304,146509.41,8.88,8.88
2017,1,36110370,9001,7953773.78,17.76,17.76
2017,1,36110370,9003,4554222.75,79.91,97.67
2017,1,36110370,9011,48476855.34,142.07,186.47
2017,1,36110380,2002,52540937.53,1722.6,1838.03
2017,1,36110380,2104,189840675.4,2583.89,2601.65
2017,1,36110380,2109,2681566.13,168.71,177.59
2017,1,36110380,2112,1793630.33,26.64,26.64
2017,1,36110380,2402,90013870.8,887.94,932.33
2017,1,36110380,2406,346294.96,53.28,53.28
2017,1,36110380,2499,6402017.16,124.31,133.19
2017,1,36110380,3102,781383.51,8.88,8.88
2017,1,36110380,3203,1982760.66,26.64,26.64
2017,1,36110380,3303,8506425.02,115.43,115.43
2017,1,36110380,3403,18897049.83,301.9,328.54
2017,1,36110380,4108,11336809.2,515.0,523.88
2017,1,36110380,4110,11098309.64,515.0,523.88
2017,1,36110380,4112,40528497.97,3312.0,3454.07
2017,1,36110380,5103,3640536.81,88.79,88.79
2017,1,36110380,5402,3205448.26,26.64,26.64
2017,1,36110380,5605,104918494.9,221.98,221.98
2017,1,36110380,5608,61997986.62,577.16,577.16
2017,1,36110380,6099,3551743.22,17.76,17.76
2017,1,36110380,7002,100156850.3,79.91,124.31
2017,1,36110380,8101,49244919.81,195.35,195.35
2017,1,36110380,8203,4883646.93,8.88,8.88
2017,1,36110380,9001,8879358.06,8.88,8.88
2017,1,36110380,9003,11765149.43,53.28,53.28
2017,1,36110380,9011,7494178.2,26.64,26.64
2017,1,36110390,1207,195345.88,8.88,8.88
2017,1,36110390,2002,18929015.52,1101.04,1127.68
2017,1,36110390,2003,96365009.24,6384.26,6766.07
2017,1,36110390,2004,2439159.66,301.9,319.66
2017,1,36110390,2104,166511937.9,9838.33,9856.09
2017,1,36110390,2109,35579587.76,2219.84,2219.84
2017,1,36110390,2112,1314144.99,44.4,44.4
2017,1,36110390,2199,304561.98,35.52,44.4
2017,1,36110390,2402,8879358.06,8.88,8.88
2017,1,36110390,2406,399571.11,8.88,8.88
2017,1,36110390,2499,1243110.13,17.76,17.76
2017,1,36110390,3204,4873879.64,62.16,62.16
2017,1,36110390,3303,1358541.78,44.4,44.4
