id,h_dng_cd,year,month,sex,age,population
462,36110550,2018,7,M,45,26608.10052
463,36110550,2018,7,M,50,17469.97208
464,36110550,2018,7,M,55,14814.33554
465,36110550,2018,7,M,60,10860.96479
466,36110550,2018,7,M,65,7122.478495
467,36110550,2018,7,M,70,5386.341022
468,36110550,2018,7,M,75,3124.66064
469,36110550,2018,8,F,15,17196.67232
470,36110550,2018,8,F,20,11243.93426
471,36110550,2018,8,F,25,17847.40449
472,36110550,2018,8,F,30,27651.92938
473,36110550,2018,8,F,35,40520.82186
474,36110550,2018,8,F,40,35429.72045
475,36110550,2018,8,F,45,26391.19013
476,36110550,2018,8,F,50,18360.56279
477,36110550,2018,8,F,55,17547.39461
478,36110550,2018,8,F,60,13627.10544
479,36110550,2018,8,F,65,8555.644229
480,36110550,2018,8,F,70,6633.980154
481,36110550,2018,8,F,75,4807.54361
482,36110550,2018,8,M,15,16636.05622
483,36110550,2018,8,M,20,11394.6216
484,36110550,2018,8,M,25,13021.28408
485,36110550,2018,8,M,30,21106.10842
486,36110550,2018,8,M,35,32037.51414
487,36110550,2018,8,M,40,30561.95512
488,36110550,2018,8,M,45,28590.3461
489,36110550,2018,8,M,50,18834.03319
490,36110550,2018,8,M,55,15985.4711
491,36110550,2018,8,M,60,11768.28095
492,36110550,2018,8,M,65,7680.022499
493,36110550,2018,8,M,70,5679.207931
494,36110550,2018,8,M,75,3301.357276
495,36110550,2018,9,F,15,14881.90996
496,36110550,2018,9,F,20,9328.625876
497,36110550,2018,9,F,25,16219.47887
498,36110550,2018,9,F,30,24779.9122
499,36110550,2018,9,F,35,36222.48608
500,36110550,2018,9,F,40,32828.27334
501,36110550,2018,9,F,45,24254.41509
502,36110550,2018,9,F,50,16884.22531
503,36110550,2018,9,F,55,16235.88323
504,36110550,2018,9,F,60,12393.86459
505,36110550,2018,9,F,65,7989.83534
506,36110550,2018,9,F,70,5915.450972
507,36110550,2018,9,F,75,4473.589887
508,36110550,2018,9,M,15,14498.75611
509,36110550,2018,9,M,20,9188.867898
510,36110550,2018,9,M,25,11887.4557
511,36110550,2018,9,M,30,19287.01568
512,36110550,2018,9,M,35,29165.77848
513,36110550,2018,9,M,40,28058.51516
514,36110550,2018,9,M,45,26350.66063
515,36110550,2018,9,M,50,17500.44101
516,36110550,2018,9,M,55,14844.23396
517,36110550,2018,9,M,60,10891.22062
518,36110550,2018,9,M,65,7103.200922
519,36110550,2018,9,M,70,5247.899463
520,36110550,2018,9,M,75,2955.115555
521,36110340,2017,1,F,15,1820.037789
522,36110340,2017,1,F,20,2614.298435
523,36110340,2017,1,F,25,3079.167729
524,36110340,2017,1,F,30,3556.349872
525,36110340,2017,1,F,35,4795.651348
526,36110340,2017,1,F,40,4910.178344
527,36110340,2017,1,F,45,5468.463485
528,36110340,2017,1,F,50,5828.08265
529,36110340,2017,1,F,55,6838.461052
530,36110340,2017,1,F,60,5074.828751
531,36110340,2017,1,F,65,3063.672264
532,36110340,2017,1,F,70,2691.584385
533,36110340,2017,1,F,75,3314.960335
534,36110340,2017,1,M,15,2832.678456
535,36110340,2017,1,M,20,5167.590835
536,36110340,2017,1,M,25,4501.458025
537,36110340,2017,1,M,30,4970.120157
538,36110340,2017,1,M,35,6963.799511
539,36110340,2017,1,M,40,7974.92045
540,36110340,2017,1,M,45,9038.203694
541,36110340,2017,1,M,50,9492.73797
542,36110340,2017,1,M,55,9714.990758
543,36110340,2017,1,M,60,7143.80996
