year,month,h_dng_cd,population,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,living_sector_revenue,d_sum,n_sum
2018,5,36110520,554712.912014,31982,40884,40837,27856950824,29732,29822
2018,5,36110530,360418.9401869999,24071,28680,28798,9472496580,21258,21423
2018,5,36110540,264834.71983100014,30019,36607,36694,10574629481,26810,26982
2018,5,36110550,385479.7505260001,26258,31252,31396,7274263320,22969,23173
2018,5,36110560,593889.7156919999,33023,40833,40903,10648650526,29843,30031
2018,6,36110250,1031307.6307399998,43253,40710,43313,28077590989,40710,43313
2018,6,36110310,383383.4585329999,2535,14915,10669,2229941706,14915,10669
2018,6,36110320,109410.54919800002,3017,4295,2672,979051434,4295,2672
2018,6,36110330,160931.29448799998,6040,9342,6077,6083326525,9342,6077
2018,6,36110340,115670.541744,8572,13639,13348,4842645700,9755,8478
2018,6,36110350,345892.7513519999,5860,9397,9223,6621311317,12352,13855
2018,6,36110360,224876.290989,7270,10565,10339,4375487229,10565,10339
2018,6,36110370,180737.147481,5749,8659,5916,2830187435,8659,5916
2018,6,36110380,66159.454031,3462,3221,2176,789547681,3221,2176
2018,6,36110390,42593.6995784,2556,1830,1668,2558735635,1830,1668
2018,6,36110510,269846.3503330001,19338,23610,23647,14496701869,17309,17406
2018,6,36110515,811139.919198,40067,50072,50156,16499882998,36836,37051
2018,6,36110520,572492.280516,31791,40220,40223,27886120765,29369,29499
2018,6,36110530,372414.877684,23934,28244,28416,9610230062,21014,21220
2018,6,36110540,274404.635731,29881,36086,36221,10272550705,26527,26740
2018,6,36110550,399259.961887,26773,31528,31719,7430987347,23272,23514
2018,6,36110560,613932.964625,33382,40874,40982,11080225577,30008,30223
2018,7,36110250,909726.0583,43091,34896,37644,26057261730,34896,37644
2018,7,36110310,372470.207665,2549,14618,10101,2223611213,14618,10101
2018,7,36110320,106033.80980299998,3016,4403,2693,962654315,4403,2693
2018,7,36110330,161442.70663900007,6009,9401,6074,6559577575,9401,6074
2018,7,36110340,114992.135285,8572,13235,13092,4899571941,9692,8389
2018,7,36110350,191830.325194,5843,9069,9004,5924082274,10553,12478
2018,7,36110360,224143.118947,7263,10573,10275,4797739257,10573,10275
2018,7,36110370,178232.17466800005,5730,8467,5904,2638356042,8467,5904
2018,7,36110380,65331.77945900001,3471,3262,2201,861296721,3262,2201
2018,7,36110390,42858.520305199985,2553,2010,1655,2558481624,2010,1655
2018,7,36110510,268040.94443699997,19252,22672,22979,15947677832,16676,16976
2018,7,36110515,843158.8916019999,41870,50344,51043,17559266553,37169,37858
2018,7,36110520,616965.417089,31718,38730,39196,29710732030,28371,28840
