id,hd_cd,year,month,upjong_code,revenue,customer_count,payment_count,high_class,upjong
375,3611025000,2017,3,3001,6.539203245E7,186.47,186.47,4,
376,3611025000,2017,3,5103,7.091055348E7,1376.3,1376.3,7,2
377,3611025000,2017,3,8210,7.094607092E7,17.76,17.76,13,2
378,3611025000,2017,3,8202,7.229955147E7,1749.23,1811.39,13,
379,3611025000,2017,3,8106,7.839585233E7,266.38,266.38,13,
380,3611025000,2017,3,3203,7.852620131E7,2388.55,2468.46,4,
381,3611025000,2017,3,2110,8.536517168E7,3631.66,3693.81,2,3
382,3611025000,2017,3,8406,8.772157572E7,4785.97,4830.37,13,2
383,3611025000,2017,3,8102,9.346856264E7,603.8,630.43,13,2
384,3611025000,2017,3,3403,1.351734868E8,2353.03,2468.46,5,
385,3611025000,2017,3,4115,1.440343758E8,2299.75,2388.55,6,
386,3611025000,2017,3,4108,1.485927718E8,4768.22,4901.41,6,1
387,3611025000,2017,3,7002,1.70068032E8,1864.67,1980.1,11,2
388,3611025000,2017,3,1204,1.749629558E8,2450.7,2468.46,1,2
389,3611025000,2017,3,2099,1.864626124E8,19907.52,20244.94,2,3
390,3611025000,2017,3,2002,2.007298495E8,36316.57,36938.13,2,
391,3611025000,2017,3,3401,2.103744662E8,2788.12,2939.07,5,
392,3611025000,2017,3,7106,2.132079492E8,7698.4,8319.96,12,1
393,3611025000,2017,3,6114,2.319462184E8,21639.0,22278.31,10,1
394,3611025000,2017,3,7102,2.786058421E8,9563.07,9589.71,12,2
395,3611025000,2017,3,2402,2.884748756E8,8044.7,8293.32,2,1
396,3611025000,2017,3,5609,3.100092457E8,8755.05,8763.93,8,
397,3611025000,2017,3,6001,3.102190206E8,2992.34,3116.65,9,
398,3611025000,2017,3,2003,3.212284034E8,35552.95,36360.97,2,3
399,3611025000,2017,3,2109,3.382808998E8,21399.25,21594.6,2,3
400,3611025000,2017,3,2406,3.532939408E8,7130.12,8213.41,2,1
401,3611025000,2017,3,7005,3.596991546E8,30935.68,31947.93,11,1
402,3611025000,2017,3,2004,3.722977649E8,57635.91,59038.85,2,3
403,3611025000,2017,3,1004,3.950793119E8,5904.77,6082.36,1,1
404,3611025000,2017,3,4110,5.059078187E8,40001.51,41342.29,6,1
