,year,month,h_dng_cd,sector_code,living_ingu,revenue,customer_count,payment_count,saengwhal_population,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,dong_name,upjong_name
3694,2017,5,36110250,6099,618906.0461899999,42828902.0925,793.227922412,834.541876734,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3695,2017,5,36110250,6102,637672.1086400001,2295403.3004,190.04418975,190.04418975,1074636.61013,44622,41328,44465,조치원읍,내구재
3696,2017,5,36110250,6103,641138.4695000001,21172986.25969,264.409307472,272.67209832199995,1074636.61013,44622,41328,44465,조치원읍,내구재
3697,2017,5,36110250,6107,900432.4992799999,10461519.505619999,784.9651315159997,818.016294946,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3698,2017,5,36110250,6111,136749.27441999994,537081.4057799999,24.788372574,24.788372574,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3699,2017,5,36110250,6113,1039591.80314,78181700.82030998,3305.116343164,3346.4302974639995,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3700,2017,5,36110250,6114,1054346.01246,139891398.74809,13129.574672424,14145.897948884,1074636.61013,44622,41328,44465,조치원읍,교육
3701,2017,5,36110250,6116,255017.93678000002,13133706.0698,181.781398866,181.781398866,1074636.61013,44622,41328,44465,조치원읍,교육
3702,2017,5,36110250,6199,53622.78272,418303.7872,8.262790857999999,8.262790857999999,1074636.61013,44622,41328,44465,조치원읍,교육
3703,2017,5,36110250,6203,1001287.4895700001,60420831.8705,2470.574466348001,2528.4140024579997,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3704,2017,5,36110250,6204,687838.24691,9579797.09308,264.40930746000004,272.6720983200001,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3705,2017,5,36110250,6205,906774.7193799998,55411928.0528,1726.9232893659994,1776.5000344859995,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3706,2017,5,36110250,6207,44606.01262,826279.0858,8.262790857999999,8.262790857999999,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3707,2017,5,36110250,6208,88414.31530999998,396613.96127,33.051163435999996,41.313954298,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3708,2017,5,36110250,6299,53622.78272,272672.0983,8.262790857999999,8.262790857999999,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3709,2017,5,36110250,7002,909310.34884,156815093.2578,2189.6395773359995,2280.530276756,1074636.61013,44622,41328,44465,조치원읍,의료/미용
3710,2017,5,36110250,7003,1074636.61013,980325230.2703,33579.98204788,35645.679763780005,1074636.61013,44622,41328,44465,조치원읍,의료/미용
3711,2017,5,36110250,7004,813502.97067,3224884.643909,578.3953601039999,603.1837326239997,1074636.61013,44622,41328,44465,조치원읍,의료/미용
3712,2017,5,36110250,7005,1074636.61013,413092731.6224001,32629.76109878,34521.940206000014,1074636.61013,44622,41328,44465,조치원읍,의료/미용
3713,2017,5,36110250,7007,757526.71658,18337281.239600006,305.72326176199994,313.986052622,1074636.61013,44622,41328,44465,조치원읍,의료/미용
3714,2017,5,36110250,7009,744622.0153399999,16054602.6369,462.716288062,512.2930332039998,1074636.61013,44622,41328,44465,조치원읍,의료/미용
3715,2017,5,36110250,7102,1014656.1940999998,337038064.34959984,11749.688600230002,11857.104881530002,1074636.61013,44622,41328,44465,조치원읍,의료/미용
3716,2017,5,36110250,7103,886828.4146299999,72139718.08389999,867.5930401019999,908.9069944419999,1074636.61013,44622,41328,44465,조치원읍,의료/미용
3717,2017,5,36110250,7104,136614.67283,13396209.3488,57.839536006,57.839536006,1074636.61013,44622,41328,44465,조치원읍,유흥
3718,2017,5,36110250,7105,1038353.22481,51222693.08889999,3875.248912486,3933.088448508001,1074636.61013,44622,41328,44465,조치원읍,의료/미용
3719,2017,5,36110250,7106,1060835.1590200001,310919221.24410003,10212.80950104,11121.716494180002,1074636.61013,44622,41328,44465,조치원읍,의료/미용
3720,2017,5,36110250,7107,290277.46645,5346025.68471,99.15349029999999,99.15349029999999,1074636.61013,44622,41328,44465,조치원읍,의료/미용
